Group,Sub-Category,Use Case / Scenario,Bank Departments Involved,Primary KPIs (1–2),Microsoft / Partner Products,Commercial Cluster,Cluster Value Size,ROI %
AI Agents Direct to Customer,A Direct-to-Customer Bots,AI loan‑guide for SMEs,SME Banking; Contact Center & Customer Service; Credit Risk; IT/CTO & Engineering,Application completion rate; Time-to-offer,"Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,340
AI Agents Direct to Customer,A Direct-to-Customer Bots,Automate retail and commercial onboarding,Retail Banking; Commercial / Wholesale Banking; Operations / Back Office; Compliance; IT/CTO & Engineering,STP rate; Onboarding TAT,"Azure AI Document Intelligence (Form Recognizer); Azure OpenAI Service (via Azure AI Foundry); Power Automate; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,380
AI Agents Direct to Customer,A Direct-to-Customer Bots,Social Media AI bot,Marketing; Contact Center & Customer Service; IT/CTO & Engineering,Lead conversion rate; Response SLA,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Power Automate,Customer Experience Platform,Small,260
AI Agents Direct to Customer,A Direct-to-Customer Bots,Collection Audio Bot,Collections; Contact Center & Customer Service; Finance (CFO); IT/CTO & Engineering,Promise-to-pay rate; Right-party contact rate,Azure Communication Services (Voice/Chat); Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Dynamics 365 Customer Service,,,320
AI Agents Direct to Customer,B Assistants for Human Agents,MS Teams‑based AI assistant for humans,Contact Center & Customer Service; IT/CTO & Engineering,Avg. handle time reduction; Agent NPS,Microsoft 365 Copilot for Service; Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search,,,300
AI Agents Direct to Customer,B Assistants for Human Agents,Real‑time sentiment and keyword detection,Contact Center & Customer Service; Data & Analytics (CDO); IT/CTO & Engineering,Sentiment accuracy; Escalation rate,"Azure Communication Services (Voice/Chat); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Fabric Real-Time Intelligence; Azure OpenAI Service (via Azure AI Foundry); Azure AI Language",,,280
AI Agents Direct to Customer,B Assistants for Human Agents,AI‑driven workforce forecasting,Contact Center & Customer Service; Operations / Back Office; IT/CTO & Engineering,Forecast accuracy (MAPE); Schedule adherence,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Azure OpenAI Service (via Azure AI Foundry); Power BI in Fabric",,,340
AI Agents Direct to Customer,C Unstructured Customer Insights,Consolidated Voice‑of‑Customer analytics,Contact Center & Customer Service; Data & Analytics (CDO); Marketing,CSAT; Top drivers coverage,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Fabric Real-Time Intelligence; Azure OpenAI Service (via Azure AI Foundry); Azure AI Speech",,,360
AI Agents Direct to Customer,C Unstructured Customer Insights,Automated Quality Management,Contact Center & Customer Service; Quality Assurance; IT/CTO & Engineering,QA coverage %; Coaching actions executed,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft 365 Copilot for Service",,,380
AI‑Empowered RMs,A RM Assistant (Consumer),Knowledge management,Retail Banking; Wealth / Private Banking; IT/CTO & Engineering; Data & Analytics (CDO),Time-to-answer; RM satisfaction,"Azure AI Search; Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); SharePoint & OneDrive (Content lifecycle)",Business Operations Suite,Medium,300
AI‑Empowered RMs,A RM Assistant (Consumer),Product Recommendations,Retail Banking; Marketing; Data & Analytics (CDO),Offer acceptance rate; Cross-sell per RM,"Dynamics 365 Customer Insights (Data & Journeys); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",Business Operations Suite,Small,340
AI‑Empowered RMs,A RM Assistant (Consumer),General Productivity for RMs,Retail Banking; Wealth / Private Banking,Meetings prepped per day; Doc prep time,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry),,,280
AI‑Empowered RMs,A RM Assistant (Consumer),One‑Click Proposal Generator,Retail Banking; Wealth / Private Banking; Legal,Proposal turnaround time; Win rate,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry); SharePoint & OneDrive (Content lifecycle),,,320
AI‑Empowered RMs,A RM Assistant (Consumer),AI‑Call listener,Retail Banking; Contact Center & Customer Service; Wealth / Private Banking,Action items captured; Compliance violations flagged,Azure Communication Services (Voice/Chat); Azure OpenAI Service (via Azure AI Foundry); Microsoft 365 Copilot for Service,,,300
AI‑Empowered RMs,A RM Assistant (Consumer),Sales‑Simulation Coach,Retail Banking; Wealth / Private Banking; HR / L&D,Ramp-up time; Close rate uplift,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Microsoft Teams,,,280
AI‑Empowered RMs,B RM Assistant (Commercial/Wholesale),AI Credit & Risk Assessment Engine for RMs,Commercial / Wholesale Banking; Credit Risk; Risk Management; Data & Analytics (CDO),Time-to-prelim score; Exception rate,"Azure Databricks; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",,,380
AI‑Empowered RMs,B RM Assistant (Commercial/Wholesale),GenAI Market‑Intelligence Assistant,Commercial / Wholesale Banking; Wealth / Private Banking; Data & Analytics (CDO),Insight adoption; RM prep time,"Azure AI Search; Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,320
AI‑Empowered RMs,B RM Assistant (Commercial/Wholesale),Live Compliance Whisperer,Commercial / Wholesale Banking; Compliance; Legal,Policy adherence rate; Issues resolved in-call,"Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,360
Precision Campaign Automation,A AI Assistant to Product Owners,Lead miner,Marketing; Product / Growth; Data & Analytics (CDO),SQL conversion rate; CAC reduction,"Dynamics 365 Customer Insights (Data & Journeys); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",Customer Experience Platform,Medium,340
Precision Campaign Automation,A AI Assistant to Product Owners,AI creative generator,Marketing; Product / Growth,Creative production time; CTR uplift,Azure OpenAI Service (via Azure AI Foundry); Microsoft Designer,,,300
Precision Campaign Automation,A AI Assistant to Product Owners,Customer Data Platform,Marketing; Data & Analytics (CDO); IT/CTO & Engineering,Unified profile coverage; Audience activation rate,"Dynamics 365 Customer Insights (Data & Journeys); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,360
Precision Campaign Automation,B Totally Unmanned Campaigns,Automated A/B tests,Marketing; Data & Analytics (CDO),Experiment velocity; Uplift vs control,"Dynamics 365 Customer Insights (Data & Journeys); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,320
Precision Campaign Automation,B Totally Unmanned Campaigns,Continuously self‑tuning models,Marketing; Data & Analytics (CDO); IT/CTO & Engineering,Model ROI uplift; Drift incidents,"Azure Databricks; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",,,380
Precision Campaign Automation,B Totally Unmanned Campaigns,Autonomous campaigns,Marketing; Product / Growth; Data & Analytics (CDO),Conversion rate; Spend efficiency,Dynamics 365 Customer Insights (Data & Journeys); Power Automate; Azure OpenAI Service (via Azure AI Foundry),,,420
Precision Campaign Automation,C Advanced Best Next Offer,Trigger offers on real‑time events,Marketing; Retail Banking; Data & Analytics (CDO),Real-time trigger latency; Offer acceptance,"Microsoft Fabric Real-Time Intelligence; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Dynamics 365 Customer Insights (Data & Journeys)",,,400
Precision Campaign Automation,C Advanced Best Next Offer,Detect life‑event signals,Marketing; Retail Banking; Data & Analytics (CDO),Signal precision; Offer lift,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry); Azure Databricks",,,380
Precision Campaign Automation,C Advanced Best Next Offer,Dynamic pricing,Marketing; Retail Banking; Finance (CFO),Price elasticity fit; Margin uplift,"Azure Databricks; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,450
Precision Campaign Automation,C Advanced Best Next Offer,Social‑graph referral analytics,Marketing; Retail Banking; Data & Analytics (CDO),Referral conversion; Network growth,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks",,,340
AI‑Driven Loan Operations,A Assistant for Underwriters,Intelligent Document Processing (IDP),Credit Risk; Operations / Back Office; Compliance,Extraction accuracy; STP rate,"Azure AI Document Intelligence (Form Recognizer); Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",Document Intelligence Suite,Medium,400
AI‑Driven Loan Operations,A Assistant for Underwriters,AI‑Driven Collateral Valuation,Credit Risk; Risk Management; Operations / Back Office,Valuation turnaround; Variance vs market,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks",,,360
AI‑Driven Loan Operations,A Assistant for Underwriters,ESG/SME/Sector‑Specific Risk Scoring,Risk Management; Credit Risk; Data & Analytics (CDO),PD calibration error; Time-to-score,"Azure Databricks; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,380
AI‑Driven Loan Operations,A Assistant for Underwriters,Automated Covenant Design,Legal; Credit Risk,Draft cycle time; Exceptions per deal,Azure OpenAI Service (via Azure AI Foundry); Microsoft 365 Copilot,,,320
AI‑Driven Loan Operations,A Assistant for Underwriters,First‑Draft Credit & Commercial Memos,Credit Risk; Risk Management,Draft time; Reviewer edits,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry),,,340
AI‑Driven Loan Operations,A Assistant for Underwriters,"Underwriter Copilot (Retail, Commercial, Wholesale)",Credit Risk; Commercial / Wholesale Banking; Retail Banking,Decision cycle time; Hit rate,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search,,,300
AI‑Driven Loan Operations,A Assistant for Underwriters,GenAI Stress‑Scenario Simulator,Risk Management; Credit Risk; Finance (CFO),Scenarios per cycle; Capital impact accuracy,"Azure Databricks; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",,,400
AI‑Driven Loan Operations,A Assistant for Underwriters,Loan Restructuring Recommender,Risk Management; Credit Risk; Operations / Back Office,Restructure success rate; NPL reduction,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry); Azure Databricks",,,420
AI‑Driven Loan Operations,B Full Automation of Underwriting,End‑to‑End Loan Processing Automation,Credit Risk; Operations / Back Office; IT/CTO & Engineering; Compliance,STP %; TAT,"Power Automate; Azure AI Document Intelligence (Form Recognizer); Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure API Management",,,480
AI‑Driven Loan Operations,B Full Automation of Underwriting,SME/Commercial Deterioration Flags,Risk Management; Credit Risk; Data & Analytics (CDO),Lead time of flags; True positive rate,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Microsoft Fabric Real-Time Intelligence",,,450
Self‑Service Banking Hub,A New Services in Commercial,Virtual AI‑Powered Banker for SMEs,SME Banking; Contact Center & Customer Service; IT/CTO & Engineering,Self-serve resolution; NPS,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure Communication Services (Voice/Chat); Azure AI Search,,,300
Self‑Service Banking Hub,B New Services in Consumer,Automate Personal Financial Decisions,Retail Banking; Finance (CFO); IT/CTO & Engineering,Advice uptake; Savings rate uplift,"Microsoft 365 Copilot for Finance; Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,300
Self‑Service Banking Hub,B New Services in Consumer,Manage Investment Portfolios with GenAI (Preferred),Wealth / Private Banking; Retail Banking; Risk Management,AUM growth; Churn reduction,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure AI Search",,,360
AI Risk Intelligence,A Advanced Risk Analytics,SME Transaction Behavior Model,Risk Management; Data & Analytics (CDO); SME Banking,Anomaly precision; False positive rate,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks",Risk & Compliance Hub,Large,450
AI Risk Intelligence,A Advanced Risk Analytics,Network Link Analytics Expansion,Risk Management; Data & Analytics (CDO); Commercial / Wholesale Banking,Ring detection precision; Investigation time,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks",,,480
AI Risk Intelligence,A Advanced Risk Analytics,Early Warning Collection Model,Collections; Risk Management; Data & Analytics (CDO),Recovery rate; Days past due reduction,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Azure OpenAI Service (via Azure AI Foundry)",,,420
AI Risk Intelligence,A Advanced Risk Analytics,Employee Fraud Risk Predictor,Risk Management; InfoSec / CISO; HR / L&D,Incidents detected; Time to investigate,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Microsoft Sentinel",,,500
AI Risk Intelligence,A Advanced Risk Analytics,High‑Risk Transaction Behavior Model,Risk Management; Compliance; Data & Analytics (CDO),SAR yield; False positive,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks",,,520
AI Risk Intelligence,B Risk Document Automation,Policy Search Tool,Compliance; Legal,Time-to-policy; Accuracy@policy,"Azure AI Search; Azure OpenAI Service (via Azure AI Foundry); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,320
AI Risk Intelligence,B Risk Document Automation,Automated Test Case Generator,Compliance; Internal Audit; IT/CTO & Engineering,Coverage %; Time-to-generate,Azure OpenAI Service (via Azure AI Foundry); Microsoft Copilot Studio (Teams & Web),,,340
AI Risk Intelligence,B Risk Document Automation,Corporate Risk News Dashboard,Risk Management; Compliance,Relevant alerts captured; Analyst time saved,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",,,360
AI Risk Intelligence,B Risk Document Automation,Virtual CRO,Risk Management; Finance (CFO),Decision turnaround; Risk-adjusted return,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Power BI in Fabric",,,400
AI Risk Intelligence,B Risk Document Automation,Automated Report Validator,Compliance; Internal Audit; Finance (CFO),Error rate; Review cycle time,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,350
AI Risk Intelligence,B Risk Document Automation,Credit Memo Assistant,Credit Risk; Risk Management,Draft time; Edit count,Azure OpenAI Service (via Azure AI Foundry); Microsoft 365 Copilot,,,340
AI Risk Intelligence,B Risk Document Automation,Third‑Party Risk Assessor,Risk Management; Procurement; Compliance,Assessment cycle time; High-risk vendor %,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,300
AI Risk Intelligence,B Risk Document Automation,Agentic in Branch Risk Assessment,Risk Management; Branch Network; Operations / Back Office,Audit findings resolved; Visit coverage,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Power Apps,,,360
AI Risk Intelligence,B Risk Document Automation,AI Control Tower,IT/CTO & Engineering; Risk Management; Data & Analytics (CDO); InfoSec / CISO,Critical alerts MTTR; Compliance posture score,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Monitor / Log Analytics; Microsoft Defender for Cloud; Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,420
Smart Compliance & Audit Hub,A Policy & Regulatory Assistant,Auto‑Generate Compliance Reports,Compliance; Internal Audit; IT/CTO & Engineering,Report cycle time; Findings rework,"Microsoft Purview (Compliance Manager, Data Map, Info Protection); Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",Risk & Compliance Hub,Medium,300
Smart Compliance & Audit Hub,A Policy & Regulatory Assistant,Compliance Assistant,Compliance; Legal,Time-to-answer policy; Exceptions closed,"Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,340
Smart Compliance & Audit Hub,A Policy & Regulatory Assistant,Regulatory Gap Analysis,Compliance; Legal; Risk Management,Gaps identified; Remediation SLA,"Microsoft Purview (Compliance Manager, Data Map, Info Protection); Microsoft Defender for Cloud; Azure OpenAI Service (via Azure AI Foundry)",,,400
Smart Compliance & Audit Hub,A Policy & Regulatory Assistant,Automate Shariah compliance assessment,Islamic Banking; Compliance; Legal,Exceptions flagged; Review time,Azure OpenAI Service (via Azure AI Foundry); Microsoft Copilot Studio (Teams & Web); Azure AI Search,,,360
Smart Compliance & Audit Hub,B Fraud & AML Assistant,Monitor Transactions for AML and Fraud Detection,Risk Management; Compliance; Data & Analytics (CDO),Alert precision; SAR conversion rate,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Microsoft Fabric Real-Time Intelligence",Risk & Compliance Hub,Large,500
Smart Compliance & Audit Hub,B Fraud & AML Assistant,AML Case‑Narrative Auto‑Writer,Compliance; Risk Management,Draft time; Reviewer edits,Azure OpenAI Service (via Azure AI Foundry); Microsoft 365 Copilot,,,380
Smart Compliance & Audit Hub,C Legal Assistant,Contract Review,Legal; Procurement,Review turnaround; Risk issues flagged,Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; SharePoint & OneDrive (Content lifecycle),,,360
Smart Compliance & Audit Hub,C Legal Assistant,Due Diligence Automation,Legal; Risk Management,Time-to-DD; Issues identified,"Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,380
Smart Compliance & Audit Hub,C Legal Assistant,Draft Legal Documents,Legal,Draft time; Attorney edit ratio,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry),,,320
